model,task_id,role,score,method,reason
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,R03,Research,85.0,hybrid,"Hybrid: 자동검증 90.0점 × 50% + Judge 80.0점 × 50%. Judge: 센서 A와 B 모두 요구조건을 완전히 충족하지 못함을 올바르게 판단했으나, 센서 A의 샘플링(10Hz)이 요구사항(20Hz 이상)에 미달이라는 점은 명확하게 설명되었지만, 측정범위에서 -30°C가 벗어난 점을 '미달'로 표현하지 않고 '측정범위: -20~80°C → -30°C 환경 사용 요구조건에 미달'이라는 형식으로 충분히 설명함. 다만, 자동검증 결과에서 '센서 비교 핵심 사실 #1'이 누락되어 감점."
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,R04,Research,100.0,objective,필수개념 4/4
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,W01,Writer,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실 중 '한 개 라인에서만 검증'은 명시되었으나, 분량이 과도하고 일부 표현이 과장된 편이다. 자동검증 결과에 따라 감점이 반영되어야 하며, 보고서 문체와 분량 관리가 부족하다."
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,W02,Writer,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 3문장으로 정확히 구성되었고, 전문 용어를 비전공자도 이해할 수 있도록 쉽게 설명함. 의미 훼손 없음."
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,W03,Writer,80.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 87.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 비용/정확도/기간 수치를 정확히 반영했고, 예산 우선과 정확도 우선 권고를 구분하며 트레이드오프를 설명했다. 단일 결론처럼 쓰지 않았으나, 문체가 보고서보다는 간단한 비교문장에 가까워 보고서 문체 지침이 약간 미흡."
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,W04,Writer,97.0,hybrid,"Hybrid: 자동검증 100.0점 × 40% + Judge 95.0점 × 60%. Judge: 원인 미확정, 담당 구분, 금요일 재점검을 모두 충족했으나, '김민수'와 '김지현' 이름 대신 '민수'와 '지현'으로 표기된 점이 약간의 공식성 부족을 유발함."
DeepSeek-R1-Distill-Qwen-14B-Q8_0,C01,Coding,100.0,objective,필수개념 2/2
DeepSeek-R1-Distill-Qwen-14B-Q8_0,C02,Coding,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Qwen-14B-Q8_0,C03,Coding,80.0,objective,필수개념 4/5
DeepSeek-R1-Distill-Qwen-14B-Q8_0,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
DeepSeek-R1-Distill-Qwen-14B-Q8_0,C05,Coding,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Qwen-14B-Q8_0,K01,Critic,100.0,objective,필수개념 2/2
DeepSeek-R1-Distill-Qwen-14B-Q8_0,K02,Critic,0.0,objective,필수개념 0/4
DeepSeek-R1-Distill-Qwen-14B-Q8_0,K03,Critic,100.0,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 100.0점 × 50%. Judge: 모순이 무엇인지 정확하고 구체적으로 설명했으며, 자동검증 결과와도 일치함."
DeepSeek-R1-Distill-Qwen-14B-Q8_0,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제는 식별했으나, '비밀정보는 환경변수/Secret 관리 등으로 분리'라는 수정 방향은 명시되지 않음. SQL 인젝션 문제는 정확히 지적했지만, 전체적으로 요구사항의 두 가지 문제 중 하나만 충족함."
DeepSeek-R1-Distill-Qwen-14B-Q8_0,K05,Critic,60.0,hybrid,"Hybrid: 자동검증 60.0점 × 50% + Judge 60.0점 × 50%. Judge: 자동 검증 결과에서 지적된 '작은 표본'과 '불확실성' 항목이 누락되었으며, '보장'이라는 표현에 대한 비판도 부족하다. 다른 관점은 제시했으나 핵심 평가기준 중 2개가 충족되지 않아 감점."
DeepSeek-R1-Distill-Qwen-14B-Q8_0,D01,Data,100.0,objective,정답 86.0 발견
DeepSeek-R1-Distill-Qwen-14B-Q8_0,D02,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Qwen-14B-Q8_0,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [1.0, 0.02, 0.9, 0.05, 2.0, 1.0, 1.0, 0.02, 0.98, 0.9]"
DeepSeek-R1-Distill-Qwen-14B-Q8_0,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
DeepSeek-R1-Distill-Qwen-14B-Q8_0,D05,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Qwen-14B-Q8_0,P01,PPT,65.0,hybrid,"Hybrid: 자동검증 65.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 75.0점. Judge: 슬라이드 수가 표지 포함 7장으로 요구사항을 충족하지 못함. 다른 항목은 기본적으로 준수되나, 자동검증 결과에 따라 감점 처리됨."
DeepSeek-R1-Distill-Qwen-14B-Q8_0,P02,PPT,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 35% + Judge 70.0점 × 65%. Judge: 차트 유형과 제목은 적절하지만, 5.2%, 4.8%, 3.1% 수치가 차트에 명시되지 않아 자동검증에서 실패함. 또한 '파일럿'이라는 핵심 정보는 주석에 포함되어 있으나, 강조 문장에서 '파일럿 라인'이 명확히 언급되지 않음."
DeepSeek-R1-Distill-Qwen-14B-Q8_0,P03,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 5장 구조 충족, 핵심 내용 정확히 2개 제시. VRAM과 양자화 설명이 명확하고 개념 순서가 자연스러움. 멀티에이전트 배치 이유도 명료하게 연결됨."
DeepSeek-R1-Distill-Qwen-14B-Q8_0,P04,PPT,50.0,objective,필수개념 1/2
DeepSeek-R1-Distill-Qwen-14B-Q8_0,R01,Research,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Qwen-14B-Q8_0,R02,Research,100.0,objective,필수개념 4/4
DeepSeek-R1-Distill-Qwen-14B-Q8_0,R03,Research,40.0,hybrid,"Hybrid: 자동검증 55.0점 × 50% + Judge 55.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 탈락 센서를 적합하다고 판단하는 역방향 주장이 포함되어 중대 오류. 자동검증 결과에서 '탈락 센서를 적합하다고 판단하는 역방향 주장'이 감지되었으며, 이는 평가기준에 명백히 위반"
DeepSeek-R1-Distill-Qwen-14B-Q8_0,R04,Research,100.0,objective,필수개념 4/4
DeepSeek-R1-Distill-Qwen-14B-Q8_0,W01,Writer,67.25,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 수치와 기간은 포함되었으나, 분량이 과다하고 '비용 절감', '생산성 향상' 등 과장된 표현이 포함되어 감점됨. 한 개 라인 한계와 향후 검증 필요성을 명시했지만, 보고서 문체 및 과장 억제 측면에서 부족함"
DeepSeek-R1-Distill-Qwen-14B-Q8_0,W02,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 70.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 3문장으로 구성되었으나, 첫 번째 문장이 완결되지 않아 전체적으로 한 문장처럼 느껴진다. 또한 '고차원 임베딩 공간'과 같은 전문 용어는 풀어서 설명하지 않았다."
DeepSeek-R1-Distill-Qwen-14B-Q8_0,W03,Writer,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 40% + Judge 50.0점 × 60%, 실패한 핵심조건 상한 70.0점. Judge: 예산 우선 권고는 충족했으나, 정확도 우선 시 A안을 권고하는 내용이 명시적으로 표현되지 않아 자동검증 FAIL 항목에 해당. 트레이드오프 설명도 부족하며, 단일결론처럼 보이는 서술 방식이 개선 필요"
DeepSeek-R1-Distill-Qwen-14B-Q8_0,W04,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 원인 미확정과 담당 구분은 유지했으나, 금요일 재점검 내용이 약간 흐릿하게 표현되었고, 자료량(227자)이 기준을 초과해 감점됨."
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,C01,Coding,100.0,objective,필수개념 2/2
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,C02,Coding,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,C03,Coding,100.0,objective,필수개념 5/5
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,C04,Coding,25.0,objective,"유효 알고리즘=FAIL, 평균 O(n) 설명=PASS"
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,C05,Coding,66.66666666666667,objective,필수개념 2/3
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,K01,Critic,0.0,objective,필수개념 0/2
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,K02,Critic,0.0,objective,필수개념 0/4
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,K03,Critic,58.0,hybrid,"Hybrid: 자동검증 52.0점 × 50% + Judge 64.0점 × 50%. Judge: 응답은 6주와 4주(30일)의 모순을 지적했으나, 8주 데이터 분석과 관련된 모순은 명확히 설명하지 않았고, 자동검증에서 요구한 핵심 수치 중 일부(7월 31일, 8주 등)를 누락함."
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,K04,Critic,22.499999999999996,hybrid,"Hybrid: 자동검증 0.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 자동 검증 결과에 따라 하드코딩된 비밀번호와 SQL Injection 문제를 식별하지 못함. 또한 수정 방향도 요구사항과 달리 해시화와 입력 검증에 초점이 맞춰져 있어 parameterized query 사용을 제시하지 않음."
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,K05,Critic,40.0,hybrid,"Hybrid: 자동검증 40.0점 × 50% + Judge 40.0점 × 50%. Judge: 응답은 자동검증에서 요구된 세 가지 주요 비판 포인트 중 하나도 충족하지 못했으며, '작은 표본', '모든 제조현장', '불확실성'에 대한 설명이 전혀 없다."
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,D01,Data,100.0,objective,정답 86.0 발견
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,D02,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [0.02, 0.9]"
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,D04,Data,20.0,objective,"line 기준 groupby=PASS, defect_rate 평균=FAIL, 집계 평균 > 0.03 필터=FAIL, 집계값 내림차순 정렬=FAIL"
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,D05,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,P01,PPT,91.75,hybrid,Hybrid: 자동검증 100.0점 × 45% + Judge 85.0점 × 55%. Judge: 6장 구성 및 문제→근거→대안/계획→결정 흐름 준수. 다만 일부 슬라이드에서 핵심 메시지가 다중 항목으로 나열되어 명확성에 약간의 문제가 있음.
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,P02,PPT,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 35% + Judge 70.0점 × 65%. Judge: 차트 유형은 적절하지만, 3.1%가 파일럿임을 명확히 표시하지 못했고, 5.2%, 4.8%도 누락됨. 제목은 메시지형이지만, 차트에서 강조한 문장과 주석에 과도한 인과 주장이 포함되어 감점."
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,P03,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 전체 구조가 명확하고 요구사항을 모두 충족함. VRAM과 양자화 설명이 정확하며, 멀티에이전트 배치 이유도 자연스럽게 연결됨."
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,P04,PPT,50.0,objective,필수개념 1/2
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,R01,Research,66.66666666666667,objective,필수개념 2/3
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,R02,Research,25.0,objective,필수개념 1/4
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,R03,Research,90.0,hybrid,"Hybrid: 자동검증 90.0점 × 50% + Judge 90.0점 × 50%. Judge: 결론과 핵심 사실 모두 정확하게 기술되었으나, 문장 형식이 표가 아닌 문장으로 작성되지 않았고, 일부 언어(예: 일본어, 프랑스어)가 혼용되어 표현의 일관성이 떨어짐"
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,R04,Research,75.0,objective,필수개념 3/4
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,W01,Writer,46.0,hybrid,"Hybrid: 자동검증 46.0점 × 45% + Judge 46.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실 중 '3개월', '한 개 라인', '다른 라인' 누락. 분량 초과 및 과장된 표현 사용."
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,W02,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 70.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 3문장이 아닌 2문장을 사용하여 자동검증 FAIL. 의미는 훼손되지 않았으나 문장 수 준수 실패."
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,W03,Writer,10.799999999999999,hybrid,"Hybrid: 자동검증 0.0점 × 40% + Judge 18.0점 × 60%, 실패한 핵심조건 상한 70.0점. Judge: 자동검증 결과에 따라 A안, B안, 예산, 정확도 누락 및 권고 패턴 미충족 등 중대한 요구사항 불이행. 문체와 분량 또한 심각하게 초과."
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,W04,Writer,46.0,hybrid,"Hybrid: 자동검증 46.0점 × 40% + Judge 46.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 자동검증 결과에 따라 DB 담당 누락, 금요일 재점검 누락, 원인 미정 표현 누락으로 감점됨. 문체는 공식적이지만 요구사항 충족 불충분."
DeepSeek-R1-Distill-Qwen-7B-Q6_K,C01,Coding,50.0,objective,필수개념 1/2
DeepSeek-R1-Distill-Qwen-7B-Q6_K,C02,Coding,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Qwen-7B-Q6_K,C03,Coding,100.0,objective,필수개념 5/5
DeepSeek-R1-Distill-Qwen-7B-Q6_K,C04,Coding,0.0,objective,"유효 알고리즘=FAIL, 평균 O(n) 설명=FAIL"
DeepSeek-R1-Distill-Qwen-7B-Q6_K,C05,Coding,66.66666666666667,objective,필수개념 2/3
DeepSeek-R1-Distill-Qwen-7B-Q6_K,K01,Critic,50.0,objective,필수개념 1/2
DeepSeek-R1-Distill-Qwen-7B-Q6_K,K02,Critic,0.0,objective,필수개념 0/4
DeepSeek-R1-Distill-Qwen-7B-Q6_K,K03,Critic,58.0,hybrid,"Hybrid: 자동검증 52.0점 × 50% + Judge 64.0점 × 50%. Judge: 모순이 존재함을 지적했으나, 자동검증에서 요구하는 핵심 수치(6주, 7월 31일, 약 4주, 8주) 중 일부를 누락해 감점됨"
DeepSeek-R1-Distill-Qwen-7B-Q6_K,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제는 제시되었으나, 'password = ""admin123""'가 하드코딩이라는 점을 명확히 지적하지 못함. SQL Injection 문제는 정확히 지적했으나, 수정 방향에서 parameterized query를 명시하지 않음."
DeepSeek-R1-Distill-Qwen-7B-Q6_K,K05,Critic,50.0,hybrid,"Hybrid: 자동검증 40.0점 × 50% + Judge 60.0점 × 50%. Judge: 응답은 일반화 문제와 표본 크기의 한계를 잘 지적했으나, '모든 제조현장'이라는 표현에 대한 외적 타당성 문제와 신뢰구간 등 불확실성에 대한 언급이 부족해 자동검증에서 FAIL인 항목을 충족하지 못함."
DeepSeek-R1-Distill-Qwen-7B-Q6_K,D01,Data,100.0,objective,정답 86.0 발견
DeepSeek-R1-Distill-Qwen-7B-Q6_K,D02,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Qwen-7B-Q6_K,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [0.02, 0.9, 0.05, 0.02, 0.9, 0.05, 0.02, 1.0, 0.02, 0.98]"
DeepSeek-R1-Distill-Qwen-7B-Q6_K,D04,Data,70.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=FAIL"
DeepSeek-R1-Distill-Qwen-7B-Q6_K,D05,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Qwen-7B-Q6_K,P01,PPT,97.25,hybrid,Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 6장 구성 및 문제-근거-대안-결정 흐름 준수. 각 슬라이드 메시지 명확하고 경영진 관점 반영. 다만 '결정'에 해당하는 슬라이드가 약간 모호함.
DeepSeek-R1-Distill-Qwen-7B-Q6_K,P02,PPT,80.25,hybrid,"Hybrid: 자동검증 90.0점 × 35% + Judge 75.0점 × 65%. Judge: 차트 유형은 적절하지만, 'files-only' 조건이 제대로 강조되지 않았고, 'files-only line'이라는 표현이 모호함. 또한, '불량률이 급격히 下落'과 같은 과도한 인과 주장이 포함되어 감점."
DeepSeek-R1-Distill-Qwen-7B-Q6_K,P03,PPT,80.0,hybrid,"Hybrid: 자동검증 92.0점 × 45% + Judge 84.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 슬라이드 2에 핵심 내용이 4개로 과다하여 감점되었으나, 나머지 슬라이드는 요구사항을 충족함. 개념 순서와 설명도 적절함."
DeepSeek-R1-Distill-Qwen-7B-Q6_K,P04,PPT,50.0,objective,필수개념 1/2
DeepSeek-R1-Distill-Qwen-7B-Q6_K,R01,Research,66.66666666666667,objective,필수개념 2/3
DeepSeek-R1-Distill-Qwen-7B-Q6_K,R02,Research,25.0,objective,필수개념 1/4
DeepSeek-R1-Distill-Qwen-7B-Q6_K,R04,Research,50.0,objective,필수개념 2/4
DeepSeek-R1-Distill-Qwen-7B-Q6_K,W01,Writer,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실 중 '한 개 라인에서만 검증'이 누락되어 감점되었으며, 자동검증 결과에 따라 38점이 감점됨. 또한 '향후 다른 라인 검증 필요'는 언급되지만, 구체성과 보고서 문체가 부족함."
DeepSeek-R1-Distill-Qwen-7B-Q6_K,W02,Writer,78.0,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 60.0점 × 55%. Judge: 3문장은 준수했으나, 'semantically 유사한 文서들' 등 전문 용어를 사용하면서도 명확하게 풀어 설명하지 못함. '근似 최 rec nearest neighbor'는 오타와 불명확한 표현으로 비전공자에게 이해가 어려움."
DeepSeek-R1-Distill-Qwen-7B-Q6_K,W03,Writer,21.599999999999998,hybrid,"Hybrid: 자동검증 0.0점 × 40% + Judge 36.0점 × 60%, 실패한 핵심조건 상한 70.0점. Judge: 자동 검증 결과에 따라 A안, B안, 예산, 정확도 누락 및 예산/정확도 우선 권고 패턴 미흡으로 대폭 감점. 내용은 풍부하지만 요구사항을 충족하지 못함."
DeepSeek-R1-Distill-Qwen-7B-Q6_K,W04,Writer,40.0,hybrid,"Hybrid: 자동검증 46.0점 × 40% + Judge 36.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 자동 검증 결과에 따라 금요일 재점검, DB 담당, 원인 미확정이 누락되어 감점. 글자 수도 과다하여 추가 감점."
Devstral-Small-2505-Q4_K_M,C01,Coding,100.0,objective,필수개념 2/2
Devstral-Small-2505-Q4_K_M,C02,Coding,100.0,objective,필수개념 3/3
Devstral-Small-2505-Q4_K_M,C03,Coding,100.0,objective,필수개념 5/5
Devstral-Small-2505-Q4_K_M,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
Devstral-Small-2505-Q4_K_M,C05,Coding,100.0,objective,필수개념 3/3
Devstral-Small-2505-Q4_K_M,K01,Critic,50.0,objective,필수개념 1/2
Devstral-Small-2505-Q4_K_M,K02,Critic,100.0,objective,필수개념 4/4
Devstral-Small-2505-Q4_K_M,K03,Critic,85.0,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 70.0점 × 50%. Judge: 모순을 정확히 지적했으나, '정확히 4주'라는 표현은 7월 1일부터 31일까지는 5주(31일)가 되므로 숫자 기준이 부정확함. 또한 '6주 진행'과 '8주치 데이터' 간의 모순을 구체적으로 설명하지 않음."
Devstral-Small-2505-Q4_K_M,K04,Critic,100.0,hybrid,"Hybrid: 자동검증 100.0점 × 55% + Judge 100.0점 × 45%. Judge: 두 가지 보안 문제를 정확히 식별하고 수정 방향을 명확하게 제시함. 자동 검증 결과와도 일치하며, 내용의 정확성과 완결성이 높음."
Devstral-Small-2505-Q4_K_M,K05,Critic,97.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 95.0점 × 50%. Judge: 자동 검증 결과 모든 항목을 충족했으며, 문제 제기 방식도 명확하고 논리적이다. 다만 '보장'이라는 표현에 대한 직접적인 지적은 약간 부족할 수 있으나, 전체적으로 평가 기준을 잘 반영했다."
Devstral-Small-2505-Q4_K_M,D01,Data,100.0,objective,정답 86.0 발견
Devstral-Small-2505-Q4_K_M,D02,Data,100.0,objective,수치정답 2/2
Devstral-Small-2505-Q4_K_M,D03,Data,100.0,objective,정답 0.2687 발견
Devstral-Small-2505-Q4_K_M,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
Devstral-Small-2505-Q4_K_M,D05,Data,100.0,objective,수치정답 2/2
Devstral-Small-2505-Q4_K_M,P01,PPT,65.0,hybrid,"Hybrid: 자동검증 65.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 75.0점. Judge: 슬라이드 수가 7장으로 요구사항을 위반하여 감점됨. 다른 항목은 기본적으로 충족되었으나, 자동검증 결과에 따라 점수가 낮음."
Devstral-Small-2505-Q4_K_M,P02,PPT,96.75,hybrid,Hybrid: 자동검증 100.0점 × 35% + Judge 95.0점 × 65%. Judge: 차트 유형과 제목이 적절하며 파일럿 라인임을 명확히 표시함. 하단 주석에 추가 설명도 포함됨. 다만 '예측'이라는 표현이 약간의 인과성을 암시할 수 있어 과도한 인과 주장 없음 기준에서 약간의 감점 사유가 있음.
